fecha,categoria,cantidad_forecast,ci_lower,ci_upper
2025-01-31,Lácteos,2.0887113997013613,0.28363912199948593,6.432102954126827
2025-02-01,Lácteos,2.0887113997013613,0.28315292318783275,6.434919048420093
2025-02-02,Lácteos,2.0887113997013613,0.28266711800285277,6.437734995108782
2025-02-03,Lácteos,2.0887113997013613,0.2821817058663147,6.440550794787143
2025-02-04,Lácteos,2.0887113997013613,0.28169668620128807,6.44336644804813
2025-02-05,Lácteos,2.0887113997013613,0.2812120584321387,6.446181955483407
2025-02-06,Lácteos,2.0887113997013613,0.2807278219845251,6.4489973176833315
2025-02-07,Lácteos,2.0887113997013613,0.28024397628539416,6.4518125352369875
2025-02-08,Lácteos,2.0887113997013613,0.2797605207629771,6.454627608732167
2025-02-09,Lácteos,2.0887113997013613,0.2792774548467862,6.457442538755385
2025-02-10,Lácteos,2.0887113997013613,0.2787947779676101,6.460257325891881
2025-02-11,Lácteos,2.0887113997013613,0.2783124895575103,6.46307197072562
2025-02-12,Lácteos,2.0887113997013613,0.27783058904981767,6.465886473839305
2025-02-13,Lácteos,2.0887113997013613,0.277349075879127,6.468700835814365
2025-02-14,Lácteos,2.0887113997013613,0.2768679494812955,6.471515057230977
2025-02-15,Lácteos,2.0887113997013613,0.27638720929343713,6.47432913866806
2025-02-16,Lácteos,2.0887113997013613,0.27590685475391924,6.477143080703272
2025-02-17,Lácteos,2.0887113997013613,0.27542688530235904,6.479956883913035
2025-02-18,Lácteos,2.0887113997013613,0.27494730037961973,6.482770548872519
2025-02-19,Lácteos,2.0887113997013613,0.27446809942780626,6.485584076155651
2025-02-20,Lácteos,2.0887113997013613,0.27398928189026267,6.488397466335122
2025-02-21,Lácteos,2.0887113997013613,0.27351084721156654,6.491210719982389
2025-02-22,Lácteos,2.0887113997013613,0.27303279483752724,6.494023837667685
2025-02-23,Lácteos,2.0887113997013613,0.2725551242151805,6.496836819960007
2025-02-24,Lácteos,2.0887113997013613,0.2720778347927862,6.499649667427132
2025-02-25,Lácteos,2.0887113997013613,0.2716009260198232,6.502462380635621
2025-02-26,Lácteos,2.0887113997013613,0.27112439734698685,6.505274960150821
2025-02-27,Lácteos,2.0887113997013613,0.27064824822618466,6.5080874065368635
2025-02-28,Lácteos,2.0887113997013613,0.270172478110533,6.510899720356672
2025-03-01,Lácteos,2.0887113997013613,0.2696970864543532,6.513711902171965
2025-03-02,Lácteos,2.0887113997013613,0.2692220727131678,6.51652395254327
